Column1,Column2,Column3,Column4,Column5,Column6,Column7
10,17,8,3,7,12,1
20,10,1,19,0,2,20
6,6,12,9,2,0,6
14,1,5,3,3,4,16
15,1,14,5,17,2,0
6,17,16,15,0,19,20
3,5,2,2,18,0,19
11,18,13,20,13,5,4
3,17,5,15,14,16,14
5,8,17,20,4,11,4
2,17,1,12,8,9,14
2,14,6,7,18,7,9
5,12,7,13,10,8,9
19,3,20,5,2,3,1
13,1,0,6,19,19,19
20,13,10,7,16,10,20
16,3,5,13,12,14,19
4,19,3,15,0,15,12
6,15,14,2,2,10,2
1,9,16,8,6,6,18
9,4,7,2,15,18,5
9,7,16,11,16,13,10
6,12,12,3,14,3,9
9,7,14,10,11,1,8
8,4,19,0,1,18,19
18,6,4,10,19,0,16
14,12,16,2,9,13,2
19,18,7,1,12,5,11
11,20,13,17,14,9,5
18,7,4,12,2,17,13
14,15,15,2,16,2,18
18,6,14,17,11,9,5
1,16,14,13,0,7,3
15,2,13,8,20,13,0
8,2,15,7,4,20,4
7,19,13,6,3,12,20
3,11,20,11,10,14,9
17,5,10,18,9,19,14
7,5,20,8,7,8,16
1,13,20,5,11,14,16
3,4,0,9,12,14,17
9,10,12,8,5,8,12
6,16,7,17,7,17,5
0,5,10,6,20,1,11
19,8,2,14,13,9,12
20,17,9,17,13,14,16
12,12,16,1,19,20,9
12,8,3,1,2,15,4
6,10,8,19,12,7,8
16,9,14,16,15,12,5
8,9,18,19,14,0,1
14,7,12,15,17,1,5
4,17,8,2,0,4,6
6,6,13,12,2,3,8
7,1,17,7,16,14,19
7,13,11,19,10,0,18
3,19,2,6,14,4,5
13,6,16,0,16,2,11
12,8,17,20,1,9,0
13,4,0,18,7,9,1
16,8,11,4,15,17,17
20,11,20,9,19,13,1
17,2,10,11,5,18,20
3,11,1,2,10,19,18
20,13,18,20,4,10,2
17,5,18,14,15,0,18
11,6,12,17,3,10,13
3,18,11,17,16,6,1
9,13,3,12,11,6,0
5,4,0,1,17,11,19
6,3,4,18,3,13,20
15,8,16,6,6,8,18
9,11,0,7,17,5,10
19,12,14,0,1,7,8
8,10,3,2,3,0,13
16,17,4,17,8,19,3
